,country,burn_2004,drowning_2004,fall_2004,poisoning_2004,total_2004
0,Afghanistan,5.120083332,8.38634491,5.331773758,4.712897301,24.058978000000003
1,Albania,0.48521506799999997,3.5376987460000002,2.1357696059999998,5.043471813,7.44703942
2,Algeria,3.8563756939999996,2.521034479,3.915556908,3.600247383,14.507965081000002
3,Andorra,0.238900453,0.672038555,2.126070976,2.463188648,5.630326984
4,Angola,8.819596291,14.24356651,7.2084841729999996,12.67169189,43.162826974
5,Antigua and Barbuda,1.857056737,6.937599659,0.980080128,0.766546726,10.475758824
6,Argentina,1.1725957390000001,1.6490573880000001,0.7649986740000001,0.565641403,4.092710001
7,Armenia,1.5276387930000002,1.909683466,1.6966006759999999,2.820093393,7.6585149349999995
8,Australia,0.397604764,0.9248843790000001,2.194619179,3.156067848,7.702280322000001
9,Austria,0.363577276,0.802178264,6.50606823,0.34622058299999997,8.66262837
10,Azerbaijan,4.465620041,2.814657211,0.534083724,1.493860364,9.060962976
11,Bahamas,3.200343847,7.306895256000001,2.663670063,0.656976998,13.829153166000001
12,Bahrain,3.3308049753437525,0.571522236,1.048099875,0.12307765300000001,5.041712486343752
13,Bangladesh,12.49962616,6.356078148,11.09069443,7.066586971,37.178703737999996
14,Barbados,1.262556195,2.50877285,0.829251885,0.20336934899999998,9.02228747583333
15,Belarus,6.399855137,10.10032177,10.31347561,33.57011795,61.933602517000004
16,Belgium,0.746117294,0.5423049329999999,6.299408436,1.4451282019999998,8.962000663
17,Belize,2.358968735,15.53486443,6.651389599,0.6797359590000001,28.966929309833333
18,Benin,4.761209965,3.8193237780000002,3.5813472269999997,4.471264361999999,18.994002969999997
19,Bhutan,12.12749195,5.845519542999999,12.23476124,8.007201195,39.267842732999995
20,Bolivia,1.3561747069999999,5.98868227,0.606545389,0.966968,9.006670366
21,Bosnia and Herzegovina,0.46446988,5.684990882999999,0.371162683,0.53964299,7.051432945999999
22,Botswana,5.7040419579999995,9.15308857,5.090471268,7.253134727000001,25.618296796
23,Brazil,0.75271076,4.08928442,6.068707943,0.166350588,11.124136123000001
24,Brunei,1.092896581,3.7396495339999998,2.422203779,1.005076647,8.314945894
25,Bulgaria,1.114601254,1.787187696,3.1437933439999997,2.147266626,7.674997294
26,Burkina Faso,5.889253616,5.061034679,4.5256223680000005,5.851376534,24.493659663000003
27,Burundi,5.640760899,18.43715858,5.0792493819999995,11.61680317,37.139612860999996
28,Cambodia,0.789973259,8.70589447,5.423884869,0.8332050440000001,15.646152598
29,Cameroon,5.4323821070000005,4.424489498,4.248663425,5.093057632,21.15875303
30,Canada,0.544410825,0.798493087,3.585384369,2.4079020019999997,7.459006281
31,Cape Verde,3.4052982330000003,1.326069355,3.313320637,0.6978845,8.483061225
32,Central African Rep.,6.178782462999999,15.47269344,5.358716011,10.785896300000001,36.787782914000005
33,Chad,5.925448895,5.207401276000001,4.525423527,5.895490646,23.124203698000002
34,Chile,1.687976718,3.0905959610000004,4.501862049,0.527493358,10.318866728
35,China,0.806686938,9.949160576,8.98939991,4.004791737,25.255355423999998
36,Colombia,0.45062568799999997,3.624592781,4.472536563999999,0.53978163,8.864100233
37,Comoros,3.01920414,2.127783775,2.520788908,2.445445061,11.368666823
38,"Congo, Rep.",4.7009058,10.05241489,4.312780857,7.42176199,26.142466547
39,Cook Is,3.358692646,3.944647312,0.01940852,3.436737776,11.019528478
40,Costa Rica,0.768048108,3.231229305,2.844651461,0.205251932,7.227176574
41,Croatia,0.6158559920000001,1.46665585,9.772564888,1.722920895,13.39382773
42,Cuba,0.522075117,2.52556324,10.38177299,0.27967152,13.750106447
43,Cyprus,0.7399058940000001,3.3060545919999997,0.361344337,0.16638250599999999,4.597002323
44,Czech Rep.,0.574800909,1.57860148,12.07424545,2.603830099,16.841601839
45,Cote d'Ivoire,8.28869915,25.92507935,6.89838028,16.47492409,51.77382878
46,"Korea, Dem. Rep.",3.083038092,5.1696152689999995,5.490858555,2.108662367,15.961287916
47,"Congo, Dem. Rep.",6.007056236,16.79712296,4.561295033,11.29163456,39.016564229
48,Denmark,0.840786755,0.8796413540000001,3.1027948860000003,3.593316078,7.127290995
49,Djibouti,4.1280956269999995,7.340726376,5.331958294,4.758820534,21.749955297
50,Dominica,0.505249441,3.068333864,1.222314596,4.171133837369793,5.5808451009999995
51,Dominican Rep.,0.5085153579999999,1.131628633,2.1186933519999998,0.17756211800000002,4.048768943
52,Ecuador,1.12481916,4.410489559,4.376473904,1.8566915990000001,12.300041623
53,Egypt,0.7594843509999999,4.288247585,2.6377022269999997,2.309987783,10.032433163
54,El Salvador,0.551514924,4.346722126,5.26265192,0.429558247,10.41989987
55,Equatorial Guinea,5.924635887000001,4.837332249,4.629140854,5.4091405870000004,22.22351599
56,Eritrea,4.087169647,7.277263165,3.602208853,6.004630089,21.583045665
57,Estonia,8.51604557,5.877384663,6.871423721,23.41197968,49.20554395400001
58,Ethiopia,4.444065571,4.516382694,3.840878725,5.038947582,17.854078989999998
59,Fiji,4.785268783999999,5.708872795,0.043011017,5.035852909,15.913181596000001
60,Finland,1.3236021999999998,2.229737997,11.48399925,11.17701054,24.042885447000003
61,France,0.638894618,1.431174278,4.636332035,1.122440696,7.436576931
62,Gabon,5.698945045,4.326575756,5.091026783,5.300726891,22.069107584
63,Gambia,4.750646591000001,3.8314132689999996,3.930907726,4.4302997589999995,19.100886585999998
64,Georgia,1.091043234,0.842588365,0.614108324,0.451612502,3.466153023
65,Germany,0.42466518299999995,0.45849704700000005,4.830601215,0.805428684,6.380184045
66,Ghana,5.087738991,3.77325201,4.059474468,4.457674503,18.686853469
67,Greece,0.541194916,2.509155035,3.034126043,3.093907118,8.524350993999999
68,Grenada,1.382776856,11.305051800000001,4.464422703,5.7564625739999995,23.227592359000003
69,Guatemala,1.051036954,1.338925004,4.509347916,1.705551386,7.422217874
70,Guinea,5.974633217,5.168026447,4.693752289,6.29611969,23.955302953
71,Guinea-Bissau,4.502800941,3.671885252,3.472041845,4.164939404,17.865648038
72,Guyana,1.159045219,5.519557953,3.7851762769999997,0.380094618,10.968348649000001
73,Haiti,1.185319901,1.6433936359999999,1.421693921,0.508864701,4.585304158
74,Honduras,0.6299084420000001,3.6400437360000004,1.2765049929999999,0.798776865,6.360770671
75,Hungary,1.286989927,1.6289474959999999,16.64228058,1.020904303,20.259491603
76,Iceland,0.7025493979999999,0.722100437,3.5069057939999997,2.2814133169999997,7.959506629
77,India,14.32761574,6.667722225,12.174483300000002,8.901751518,42.46122626500001
78,Indonesia,6.127605438,4.779739857,8.024801254,3.9551310539999998,23.196826549
79,Iran,2.037435293,2.719276667,4.4389414789999995,2.956709146,12.752554439
80,Iraq,13.29929638,10.31259346,11.85843277,10.62040234,40.561890610000006
81,Ireland,0.7797486779999999,1.304066181,5.428429604,0.466416985,8.314200163
82,Israel,0.26543662,0.5109013920000001,1.180207968,1.3598396780000002,2.19801268
83,Italy,0.283861607,0.7025884990000001,6.824293612999999,0.38574650899999996,8.180100219
84,Jamaica,1.056504726,2.103786469,4.079553127,0.259935111,7.699269222
85,Japan,0.7047410009999999,2.462170601,2.524842262,0.5383104089999999,6.088218464
86,Jordan,5.266461372,2.490809441,2.22212863,2.176011801,10.766557243
87,Kazakhstan,3.734105825,9.128953934,3.475875616,22.16195679,76.16891537500001
88,Kenya,5.247452259,4.949559689,4.758968353,5.089548111,19.042051301
89,Kiribati,3.3308049753437525,5.260021238390622,4.611214534671876,4.171133837369793,17.623747294239582
90,Kuwait,1.3941758869999998,0.7367865440000001,2.048094511,0.584534824,4.698602642
91,Kyrgyzstan,2.159370184,8.717104912,4.223422527,17.41530228,32.539067623
92,Laos,14.25634575,9.289315224,13.66785049,8.018582344,45.971560464
93,Latvia,7.108301162999999,8.67931366,9.458460808,14.07043266,38.796625631
94,Lebanon,6.106329441000001,3.0959010119999997,5.451313019,3.239409924,18.181638472
95,Lesotho,3.0134592060000003,5.534087181,3.385127544,4.741689682,18.693231931
96,Liberia,5.195684433,5.465460299999999,4.254863739,6.215863228,25.848098472
97,Libya,4.200705528,2.479269743,3.5515589710000004,2.516609907,12.396133242000001
98,Lithuania,3.519167662,8.807596207000001,10.39620018,17.08634949,39.996604049
99,Luxembourg,0.370494664,0.772485912,6.1955657010000005,3.194434166,12.030071277000001
100,Madagascar,4.525608063,3.726142645,3.516938925,4.155482292,18.485305633
101,Malawi,4.386906624,15.06162262,3.731557369,0.896325409,24.181641613
102,Malaysia,0.392379016,3.5122785569999997,4.846709728,0.873335958,9.597067901
103,Maldives,2.249350309,4.602542877,10.73034477,1.6540327069999998,22.422139956
104,Mali,5.69832468,7.320631981,4.410247326,6.0249776839999996,26.352631987000002
105,Malta,0.401551783,0.718757987,9.175183296,1.995059371,11.996373066
106,Marshall Islands,6.644908905,8.631054877999999,0.048309103,5.801558971,21.226295886
107,Mauritania,5.067479134,4.335908413,4.140105247,4.970630646,22.116259794
108,Mauritius,3.7108595369999997,3.6802504060000003,2.173601389,0.049654018,9.746044632
109,Mexico,0.8339483740000001,2.920317888,3.788119555,1.289460897,8.554568817
110,"Micronesia, Fed. Sts.",3.75705719,4.380141735,0.026307228999999998,3.135749578,11.540093154000001
111,Monaco,3.3308049753437525,5.260021238390622,6.339615345,0.587576866,15.529141058734377
112,Mongolia,2.25267005,4.855568886,6.890179157,2.85078454,17.150975093
113,Morocco,2.49579525,3.106740952,3.1296806339999996,1.91395545,10.995649835999998
114,Mozambique,5.230650902,7.167173386,4.6197462080000005,4.876410007,19.784577495999997
115,Myanmar,7.960580349,6.608426571,8.890291214,4.558066845,28.531566134
116,Namibia,3.680824995,1.548416615,4.850430489,0.793066204,11.022715899
117,Nauru,9.861204147,20.76503181,17.84573746,1.280659676,49.952138417
118,Nepal,9.244924545,6.485136509,8.931825638,5.359501362,30.364659692
119,Netherlands,0.20417740899999998,0.588801086,3.757113695,0.93097502,5.1487660900000005
120,New Zealand,0.38107210399999997,1.543493152,4.8861212730000005,1.121508956,7.032945829000001
121,Nicaragua,0.719476163,4.897483826,3.21727252,0.726642728,9.837761509
122,Niger,5.885241032000001,8.58246994,4.842306137,6.506351471,29.256845109
123,Nigeria,6.034070492000001,13.17629242,4.748979092,7.391807556,32.677076004
124,Niue,3.891184092,5.446812153,0.045809145999999995,3.188253164,12.833008391
125,Norway,0.9770051240000001,1.7377313380000001,7.188120842000001,8.032603264,11.024949304000002
126,Oman,0.7861031890000001,3.4224255080000003,3.251220465,0.845568419,8.328494162
127,Pakistan,11.90498447,5.4131636620000005,12.02375126,6.2307572360000005,36.063003392
128,Palau,3.630022049,4.728466511000001,0.039848767,3.634520292,12.185888327
129,Panama,0.35996326799999995,4.442611694,3.003424168,1.098306894,8.23848573
130,Papua New Guinea,8.832960129,7.060499191,9.515307426,5.453388213999999,31.060292746
131,Paraguay,7.126265526,2.128880739,0.822467208,0.423697561,10.461070073
132,Peru,1.065365434,4.413009644,0.55972147,0.663622022,6.8214087480000005
133,Philippines,0.189581975,4.208931923,3.564413071,0.44503814,8.421397669
134,Poland,1.0613003970000001,2.473413706,7.336278915,4.128065109,14.545118018000002
135,Portugal,0.701513827,1.514215469,4.641287804,0.659183681,7.4485461
136,Qatar,3.3308049753437525,2.192506313,1.24138701,4.171133837369793,11.186404844177083
137,"Korea, Rep.",0.87409991,2.28242445,8.278238297,0.571403325,12.462243657
138,Moldova,3.07279563,7.374524117000001,5.939527987999999,14.97340202,27.722767734999998
139,Romania,1.406416416,4.617928982,5.614512444,4.223836899,16.480612842
140,Russia,7.2962808610000005,10.02939987,8.196986198,41.14281082,65.16140692900001
141,Rwanda,6.017883778,20.57376099,5.047314167,1.43704772,32.907976935
142,Saint Kitts and Nevis,2.639387369,9.04542923,4.892878532,4.171133837369793,20.99940167683333
143,Saint Lucia,2.666165829,5.636061667999999,0.30613175,4.171133837369793,9.213713046999999
144,Saint Vincent and the Grenadines,3.375669003,12.0698595,6.104589938999999,4.171133837369793,25.97182498783333
145,Samoa,4.329987526,5.587123394,0.022459587000000003,3.765543222,13.653346506999998
146,San Marino,3.3308049753437525,0.728446484,4.611214534671876,1.6839650869999998,11.225899994015629
147,Sao Tome and Principe,5.355763912,3.114511967,3.8755908010000004,1.03470552,13.183909080000001
148,Saudi Arabia,0.7051367159999999,6.771661282,7.029717445,1.5342918630000002,15.938021443000002
149,Senegal,5.055577755,4.137681484,4.103675365,5.195435524,21.150620603999997
150,Serbia and Montenegro,0.591827452,1.382915616,1.8523952959999999,0.36463162299999996,4.653305764
151,Seychelles,0.882874072,15.95689201,0.9259276390000001,4.171133837369793,22.187400266833333
152,Sierra Leone,7.638168812000001,8.964026451,6.217244625,11.06474209,38.001579888
153,Singapore,0.063291192,0.594329178,4.118116379,0.174544841,4.880104649
154,Slovak Republic,0.85708952,2.7424318789999997,6.906487942,2.308080912,13.117777340999998
155,Slovenia,0.293605655,0.8921332959999999,10.57460308,1.239801526,13.285614031
156,Solomon Islands,3.7889444830000003,6.256864071,0.160131052,2.991172552,13.184899606000002
157,Somalia,8.160377502000001,26.63749695,9.542284966,6.904289246,46.435204418
158,South Africa,9.800415038999999,2.593145132,3.47616291,1.188189149,17.193456081
159,Spain,0.36183551,1.187992334,2.295529366,1.4547179940000001,5.300362209999999
160,Sri Lanka,1.403860331,4.164374828,3.320240021,0.92277205,9.97850318
161,Sudan,5.268792152,7.255851269,5.087699413,3.910938978,19.680045833999998
162,Suriname,2.1843876840000003,5.412862777999999,4.316963196000001,0.1413178,16.335920203833332
163,Swaziland,6.226202965,9.924497603999999,5.824388027,8.218862534,26.619179596
164,Sweden,0.816457987,1.198734283,2.8944129939999996,2.589960575,7.214858264
165,Switzerland,0.33831161299999996,0.580039263,7.417273521,0.22831279,8.470329197
