,country,burn_2002,burn_2004,drowning_2002,drowning_2004,fall_2002,fall_2004,poisoning_2002,poisoning_2004,total_2002,total_2004
0,Afghanistan,5.460642,5.120083332,8.894667,8.38634491,6.331071,5.331773758,5.220776,4.712897301,25.907156,24.058978000000003
1,Albania,0.2715491,0.48521506799999997,1.223273,3.5376987460000002,0.788038,2.1357696059999998,1.288356,5.043471813,3.5712161,7.44703942
2,Algeria,4.535572,3.8563756939999996,3.8037050000000003,2.521034479,4.422987,3.915556908,4.2149980000000005,3.600247383,16.977262000000003,14.507965081000002
3,Andorra,0.25484070000000003,0.238900453,0.7054017,0.672038555,2.160558,2.126070976,2.593317,2.463188648,5.714117399999999,5.630326984
4,Angola,9.622183,8.819596291,19.18674,14.24356651,7.728636,7.2084841729999996,12.89118,12.67169189,49.428739,43.162826974
5,Antigua and Barbuda,0.4155295,1.857056737,3.4998650000000002,6.937599659,4.849943866145835,0.980080128,0.7010223000000001,0.766546726,9.466360666145835,10.475758824
6,Argentina,1.20581,1.1725957390000001,2.5033939999999997,1.6490573880000001,0.9156841,0.7649986740000001,0.5060582,0.565641403,5.1309463,4.092710001
7,Armenia,1.7472880000000002,1.5276387930000002,2.312726,1.909683466,1.389538,1.6966006759999999,2.5245919999999997,2.820093393,7.974144000000001,7.6585149349999995
8,Australia,0.43894110000000003,0.397604764,1.2505469999999999,0.9248843790000001,2.145666,2.194619179,4.185172000000001,3.156067848,8.0203261,7.702280322000001
9,Austria,0.46500159999999996,0.363577276,0.9030446,0.802178264,6.149815,6.50606823,0.9908046,0.34622058299999997,8.508665800000001,8.66262837
10,Azerbaijan,4.9854400000000005,4.465620041,0.49228469999999996,2.814657211,0.32729179999999997,0.534083724,1.246602,1.493860364,7.051618500000001,9.060962976
11,Bahamas,2.632014,3.200343847,7.378496000000001,7.306895256000001,2.636469,2.663670063,0.6582439999999999,0.656976998,13.305223000000002,13.829153166000001
12,Bahrain,3.4602370989583324,3.3308049753437525,0.7915528000000001,0.571522236,0.922175,1.048099875,0.09128539999999999,0.12307765300000001,5.265250298958333,5.041712486343752
13,Bangladesh,12.55292,12.49962616,6.269516,6.356078148,11.54749,11.09069443,7.232305,7.066586971,37.602231,37.178703737999996
14,Barbados,0.2786933,1.262556195,3.250342,2.50877285,1.9527430000000001,0.829251885,4.421706545833331,0.20336934899999998,9.903484845833331,9.02228747583333
15,Belarus,7.009492999999999,6.399855137,16.80746,10.10032177,6.217752,10.31347561,35.11995,33.57011795,65.154655,61.933602517000004
16,Belgium,0.7817637,0.746117294,0.5869388000000001,0.5423049329999999,5.611276999999999,6.299408436,1.3741700000000001,1.4451282019999998,8.3541495,8.962000663
17,Belize,3.4602370989583324,2.358968735,6.4369,15.53486443,2.722101,6.651389599,4.421706545833331,0.6797359590000001,17.040944644791665,28.966929309833333
18,Benin,6.434937000000001,4.761209965,7.249941000000001,3.8193237780000002,5.192746,3.5813472269999997,6.832122,4.471264361999999,25.709746000000003,18.994002969999997
19,Bhutan,14.75865,12.12749195,6.63132,5.845519542999999,13.411679999999999,12.23476124,9.06007,8.007201195,43.861720000000005,39.267842732999995
